Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
De Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
M. de Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
J. De Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
M Joaquim de Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
J. Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
M de Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
M. Joaquim de Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
de Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
M. De Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
Vasconcellos, Joaquim de	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
Vasconcellos, Joaquim António da Fonseca e	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
De Vasconcellos, Joaquim	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
Vasconcellos, Joaquim Antonio da Fonseca e	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
Fonseca e Vasconcellos, Joaquim António da	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
Marc Vande Perre	Vande Perre, Marc	http://vocab.getty.edu/ulan/500291455
M Marc Vande Perre	Vande Perre, Marc	http://vocab.getty.edu/ulan/500291455
M Vande Perre	Vande Perre, Marc	http://vocab.getty.edu/ulan/500291455
M. Vande Perre	Vande Perre, Marc	http://vocab.getty.edu/ulan/500291455
M. Marc Vande Perre	Vande Perre, Marc	http://vocab.getty.edu/ulan/500291455
Vande Perre	Vande Perre, Marc	http://vocab.getty.edu/ulan/500291455
Perre, Marc Vande	Vande Perre, Marc	http://vocab.getty.edu/ulan/500291455
Camillo da Vito	Vito, Camillo da	http://vocab.getty.edu/ulan/500056691
Da Vito	Vito, Camillo da	http://vocab.getty.edu/ulan/500056691
Vito	Vito, Camillo da	http://vocab.getty.edu/ulan/500056691
C. Da Vito	Vito, Camillo da	http://vocab.getty.edu/ulan/500056691
M da Vito	Vito, Camillo da	http://vocab.getty.edu/ulan/500056691
M Da Vito	Vito, Camillo da	http://vocab.getty.edu/ulan/500056691
