M. Étienne Esquirol	Esquirol, Étienne (1772-1840)	http://data.bnf.fr/ark:/12148/cb119019299#foaf:Person	http://dbpedia.org/resource/Jean-Étienne_Esquirol	http://www.idref.fr/026853655
José de Ezpeleta y Veire de Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
José de Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
de Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
De Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
J Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
J. Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
J de Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
J De Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
J. De Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
J. de Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
M de Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
M Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
M Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
M José de Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
M. Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
M. José de Ezpeleta y Galdeano	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
José de Ezpeleta	Ezpeleta y Galdeano, José de (1742-1823)	http://data.bnf.fr/ark:/12148/cb119567337#foaf:Person	http://www.idref.fr/027550885
Oscar Egg	Egg, Oscar (1890-1961)	http://data.bnf.fr/ark:/12148/cb149744672#foaf:Person
Egg	Egg, Oscar (1890-1961)	http://data.bnf.fr/ark:/12148/cb149744672#foaf:Person
O Egg	Egg, Oscar (1890-1961)	http://data.bnf.fr/ark:/12148/cb149744672#foaf:Person
O. Egg	Egg, Oscar (1890-1961)	http://data.bnf.fr/ark:/12148/cb149744672#foaf:Person
M Egg	Egg, Oscar (1890-1961)	http://data.bnf.fr/ark:/12148/cb149744672#foaf:Person
M Oscar Egg	Egg, Oscar (1890-1961)	http://data.bnf.fr/ark:/12148/cb149744672#foaf:Person
M. Egg	Egg, Oscar (1890-1961)	http://data.bnf.fr/ark:/12148/cb149744672#foaf:Person
M. Oscar Egg	Egg, Oscar (1890-1961)	http://data.bnf.fr/ark:/12148/cb149744672#foaf:Person
Ephraim Gottlob Eichsfelden	Eichsfeld, Ephraim Gottlob (1697-1764)	http://data.bnf.fr/ark:/12148/cb12239761q#foaf:Person	http://www.idref.fr/086172808
Ephraim Gottlob Eichsfeld	Eichsfeld, Ephraim Gottlob (1697-1764)	http://data.bnf.fr/ark:/12148/cb12239761q#foaf:Person	http://www.idref.fr/086172808
Eichsfeld	Eichsfeld, Ephraim Gottlob (1697-1764)	http://data.bnf.fr/ark:/12148/cb12239761q#foaf:Person	http://www.idref.fr/086172808
E G Eichsfeld	Eichsfeld, Ephraim Gottlob (1697-1764)	http://data.bnf.fr/ark:/12148/cb12239761q#foaf:Person	http://www.idref.fr/086172808
E. G. Eichsfeld	Eichsfeld, Ephraim Gottlob (1697-1764)	http://data.bnf.fr/ark:/12148/cb12239761q#foaf:Person	http://www.idref.fr/086172808
M Eichsfeld	Eichsfeld, Ephraim Gottlob (1697-1764)	http://data.bnf.fr/ark:/12148/cb12239761q#foaf:Person	http://www.idref.fr/086172808
M Ephraim Gottlob Eichsfeld	Eichsfeld, Ephraim Gottlob (1697-1764)	http://data.bnf.fr/ark:/12148/cb12239761q#foaf:Person	http://www.idref.fr/086172808
M. Eichsfeld	Eichsfeld, Ephraim Gottlob (1697-1764)	http://data.bnf.fr/ark:/12148/cb12239761q#foaf:Person	http://www.idref.fr/086172808
M. Ephraim Gottlob Eichsfeld	Eichsfeld, Ephraim Gottlob (1697-1764)	http://data.bnf.fr/ark:/12148/cb12239761q#foaf:Person	http://www.idref.fr/086172808
Pierre-Elzéar Bonnier	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
Pierre Elzéar	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
Elzéar	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
P Elzéar	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
P. Elzéar	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
M Elzéar	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
M Pierre Elzéar	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
M. Elzéar	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
M. Pierre Elzéar	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
Elzéar Bonnier-Ortolan	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
Elzéar Bonnier- Ortolan	Elzéar, Pierre (1849-1916)	http://data.bnf.fr/ark:/12148/cb14657838c#foaf:Person	http://www.idref.fr/084623101
Enrico Enriques	Enriquez, Enrico (1701-1756)	http://data.bnf.fr/ark:/12148/cb12340721p#foaf:Person	http://dbpedia.org/resource/Enrico_Enriquez	http://www.idref.fr/032363125
