Qostà ibn Lùqà	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
 Qusṭā ibn Lūqā	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
Qusṭā ibn Lūqā	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
 Qusṭā ibn Lūqā	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
. Qusṭā ibn Lūqā	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
M Qusṭā ibn Lūqā	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
M  Qusṭā ibn Lūqā	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
M. Qusṭā ibn Lūqā	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
M.  Qusṭā ibn Lūqā	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
Ḳusṭā ibn Lūḳā	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
Qusṭā ibn Lūqā al-Ba´labakkī	Qusṭā ibn Lūqā, 	http://data.bnf.fr/ark:/12148/cb12013791f#foaf:Person	http://www.idref.fr/028266706	http://dbpedia.org/resource/Qusta_ibn_Luqa
Huang-tʻai-chi	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
 Qing Tai Zong	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
Qing Tai Zong	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
 Qing Tai Zong	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
. Qing Tai Zong	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
M Qing Tai Zong	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
M  Qing Tai Zong	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
M. Qing Tai Zong	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
M.  Qing Tai Zong	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
淸太宗	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
Chongde	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
皇太極	Qing Tai Zong, (1592-1643)	http://data.bnf.fr/ark:/12148/cb159981683#foaf:Person	http://dbpedia.org/resource/Huang_Taiji
